id,year,month,authors,title,title_ja,note,venue,links,award,hidden,rm_id,rm_target,rm_type,rm_skip,journal,volume,number,pages,doi,referee,lang
p0193,2018,,"井上昂治, Divesh Lala, 原康平, 相原邦光, 中村静, 高梨克也, 河原達也",自律型アンドロイドERICAによる就職面接対話,,,"人工知能学会研究会資料, SLUD-B802-14",Link | https://jsai.ixsq.nii.ac.jp/ej/?action=pages_view_main&active_action=repository_view_main_item_detail&item_id=9621&item_no=1&page_id=13&block_id=23,,,,,,,,,,,,,
p0194,2018,,"山本賢太, 井上昂治, Divesh Lala, 中村静, 高梨克也, 河原達也",自律型アンドロイドERICAによる傾聴対話,,,"人工知能学会研究会資料, SLUD-B802-13",Link | https://jsai.ixsq.nii.ac.jp/ej/?action=pages_view_main&active_action=repository_view_main_item_detail&item_id=9620&item_no=1&page_id=13&block_id=23,,,,,,,,,,,,,
p0195,2018,,"田中滉己, 井上昂治, 中村静, 高梨克也, 河原達也",初対面対話における好感のモデリングと発話構成要素の選択,,,"人工知能学会研究会資料, SLUD-B802-03",Link | https://jsai.ixsq.nii.ac.jp/ej/?action=pages_view_main&active_action=repository_view_main_item_detail&item_id=9609&item_no=1&page_id=13&block_id=23,,,,,,,,,,,,,
p0196,2018,,"原康平, 井上昂治, 高梨克也, 河原達也",相槌・フィラー予測とのマルチタスク学習によるターンテイキング予測,,,"人工知能学会研究会資料, SLUD-B802-01",Link | https://jsai.ixsq.nii.ac.jp/ej/?action=pages_view_main&active_action=repository_view_main_item_detail&item_id=9607&item_no=1&page_id=13&block_id=23,,,,,,,,,,,,,
p0197,2018,,"原康平, 井上昂治, 高梨克也, 河原達也",相槌・フィラー予測とのマルチタスク学習による円滑なターンテイキング,,,"第80回情報処理学会全国大会, 6Q-07",,,,,,,,,,,,,,
p0198,2018,,"山本賢太, 井上昂治, 中村静, 高梨克也, 河原達也",自律型アンドロイドのキャラクタ表現のための対話の振る舞い制御モデルの構築と評価,,,"第80回情報処理学会全国大会, 6Q-06",,学生奨励賞,,,,,,,,,,,,
p0199,2018,,"田中滉己, 井上昂治, 高梨克也, 河原達也",初対面対話における好感の生成と発話構成要素の予測のモデル,,,"第80回情報処理学会全国大会, 6Q-05",,学生奨励賞,,,,,,,,,,,,
p0200,2018,,"石田真也, 井上昂治, 中村静, 高梨克也, 河原達也",共感・発話促進のための多様な聞き手応答を生成する傾聴対話システム,,,"第80回情報処理学会全国大会, 6Q-04",,,,,,,,,,,,,,
p0201,2018,,"井上昂治, Lala Divesh, 高梨克也, 河原達也",自律型アンドロイドERICAにおけるエンゲージメント推定に基づく音声対話システム,,,"日本音響学会2018春季研究発表会, 2-8-9",,,,,,,,,,,,,,
p0202,2018,,"石田真也, 井上昂治, 中村静, 高梨克也, 河原達也",共感表出と発話促進のための聞き手応答を生成する傾聴対話システム,,,"人工知能学会研究会資料, SLUD-B509-2",Link | https://jsai.ixsq.nii.ac.jp/ej/?action=pages_view_main&active_action=repository_view_main_item_detail&item_id=9072&item_no=1&page_id=13&block_id=23,,,,,,,,,,,,,
p0203,2017,,"井上昂治, Lala Divesh, Milhorat Pierrick, 高梨克也, 河原達也",潜在キャラクタモデルによるリアルタイム対話エンゲージメント推定,,,"人工知能学会研究会資料, SLUD-B508-18",Link | https://jsai.ixsq.nii.ac.jp/ej/?action=pages_view_main&active_action=repository_view_main_item_detail&item_id=8937&item_no=1&page_id=13&block_id=23,若手奨励賞; 人工知能学会 2017年度研究会優秀賞,,,,,,,,,,,,
p0204,2017,,"井上昂治, Lala Divesh, Milhorat Pierrick, 石田真也, 趙天雨, 高梨克也, 河原達也",自律型アンドロイドERICAにおける多様な聞き手応答を用いた傾聴対話,,,"人工知能学会研究会資料, SLUD-B508-11",Link | https://jsai.ixsq.nii.ac.jp/ej/?action=pages_view_main&active_action=repository_view_main_item_detail&item_id=8928&item_no=1&page_id=13&block_id=23,,,,,,,,,,,,,
p0205,2017,,"山本賢太, 井上昂治, 中村静, 高梨克也, 河原達也",自律型アンドロイドの対話の振る舞い制御モデルによる キャラクタ表現法の検討,,,"人工知能学会研究会資料, SLUD-B508-05",Link | https://jsai.ixsq.nii.ac.jp/ej/?action=pages_view_main&active_action=repository_view_main_item_detail&item_id=8921&item_no=1&page_id=13&block_id=23,,,,,,,,,,,,,
p0206,2017,,"井上昂治, Lala Divesh, 吉井和佳, 高梨克也, 河原達也",潜在キャラクタモデルによる聞き手のふるまいに基づく対話エンゲージメントの推定,,,"日本音響学会2017秋季研究発表会, 2-Q-12",,,,,,,,,,,,,,
p0207,2017,,"稲熊寛文, 井上昂治, 三村正人, 河原達也",End-to-endモデルによる音声対話中のsocial signalsの検出,,,"日本音響学会2017秋季研究発表会, 1-10-16",,学生優秀発表賞,,,,,,,,,,,,
p0208,2017,,"稲熊寛文, 井上昂治, 三村正人, 河原達也",End-to-endモデルによるsocial signals検出および音声認識との統合,,,"情報処理学会研究報告, SLP-117-7",,,,,,,,,,,,,,
p0209,2017,,"勝見久央, 井上昂治, 中村静, 高梨克也, 河原達也",自律型アンドロイドによる対話における同調的笑いの生成,,,"情報処理学会研究報告, SLP-116-4",,学生奨励賞,,,,,,,,,,,,
p0210,2017,,"稲熊寛文, 井上昂治, 河原達也",ニューラルネットによる音声対話における非言語的振る舞いの検出,,,"第79回情報処理学会全国大会, 7M-04",,学生奨励賞,,,,,,,,,,,,
p0211,2017,,"勝見久央, 井上昂治, 中村静, 高梨克也, 河原達也",自律型アンドロイドによる対話における「同調的笑い」の生成,,,"第79回情報処理学会全国大会, 7M-03",,,,,,,,,,,,,,
p0212,2017,,"石田真也, 井上昂治, 中村静, 高梨克也, 河原達也",傾聴対話システムにおける自分語りを含む多様な聞き手応答の生成,,,"第79回情報処理学会全国大会, 7M-02",,,,,,,,,,,,,,
p0213,2017,,"山本賢太, 井上昂治, 中村静, 高梨克也, 河原達也",自律型アンドロイドのキャラクタ表現のための対話の振る舞い制御,,,"第79回情報処理学会全国大会, 7M-01",,,,,,,,,,,,,,
p0214,2017,,"井上昂治, Lala Divesh, 高梨克也, 河原達也",聞き手の多様なふるまいに基づく対話エンゲージメントの推定,,,"日本音響学会2017春季研究発表会, 3-5-1",,,,,,,,,,,,,,
p0215,2017,,"井上昂治, 三村正人, 石井カルロス寿憲, 坂井信輔, 河原達也",DAEを用いたリアルタイム遠隔音声認識,,,"日本音響学会2017春季研究発表会, 1-Q-6",,,,,,,,,,,,,,
p0216,2017,,"李遠超, 井上昂治, 中村静, 高梨克也, 河原達也",ヒューマンロボットインタラクションにおける韻律とテキスト情報を組み合わせた感情認識と評価応答選択,,,"人工知能学会研究会資料, SLUD-B505-09",Link | https://jsai.ixsq.nii.ac.jp/ej/?action=pages_view_main&active_action=repository_view_main_item_detail&item_id=8547&item_no=1&page_id=13&block_id=23,,,,,,,,,,,,,
