id,year,month,authors,title,title_ja,note,venue,links,award,hidden,rm_id,rm_target,rm_type,rm_skip,journal,volume,number,pages,doi,referee,lang
p0062,2025,,"Zi Haur Pang, Yahui Fu, Divesh Lala, Mikey Elmers, Koji Inoue, Tatsuya Kawahara",Does the Appearance of Autonomous Conversational Robots Affect User Spoken Behaviors in Real-World Conference Interactions?,,,Late-Breaking Work at CHI Conference on Human Factors in Computing Systems (CHI EA),"Link | https://dl.acm.org/doi/10.1145/3706599.3720179
Preprint PDF | https://arxiv.org/abs/2503.13625",,,,,,,,,,,,,
p0063,2025,,"Zi Haur Pang, Yahui Fu, Divesh Lala, Mikey Elmers, Koji Inoue, Tatsuya Kawahara",Human-Like Embodied AI Interviewer: Employing Android ERICA in Real International Conference,,,International Conference on Computational Linguistics (COLING),"Link | https://aclanthology.org/2025.coling-demos.14/
Preprint PDF | https://arxiv.org/abs/2412.09867",,,,,,,,,,,,,
p0064,2024,,"Divesh Lala, Koji Inoue, Tatsuya Kawahara",Prediction of Negative User Reactions Towards System Responses During Attentive Listening,,,APSIPA ASC,PDF | http://www.apsipa2024.org/files/papers/483.pdf,,,,,,,,,,,,,
p0065,2024,,"Divesh Lala, Koji Inoue, Haruki Kawai, Zi Haur Pang, Mikey Elmers, Tatsuya Kawahara",Development and Evaluation of a Semi-Autonomous Parallel Attentive Listening System,,,APSIPA ASC,PDF | http://www.apsipa2024.org/files/papers/481.pdf,,,,,,,,,,,,,
p0066,2024,,"Mikey Elmers, Koji Inoue, Divesh Lala, Keiko Ochi, Tatsuya Kawahara",Analysis and Detection of Differences in Spoken User Behaviors between Autonomous and Wizard-of-Oz Systems,,,Oriental COCOSDA (OCOCOSDA),Preprint PDF | https://arxiv.org/abs/2410.03147,,,,,,,,,,,,,
p0067,2024,,"Keiko Ochi, Koji Inoue, Divesh Lala, Tatsuya Kawahara",Entrainment Analysis and Prosody Prediction of Subsequent Interlocutor’s Backchannels in Dialogue,,,"INTERSPEECH, pp. 462-466",Link | https://www.isca-archive.org/interspeech_2024/ochi24_interspeech.html,,,,,,,INTERSPEECH,,,462-466,,,
p0068,2024,,"Koji Inoue, Bing'er Jiang, Erik Ekstedt, Tatsuya Kawahara, Gabriel Skantze",Multilingual Turn-taking Prediction Using Voice Activity Projection,,,"Joint International Conference on Computational Linguistics, Language Resources and Evaluation (LREC-COLING), pp. 11873-11883","Link | https://aclanthology.org/2024.lrec-main.1036/
Preprint PDF | https://arxiv.org/abs/2403.06487",,,,,,,"Joint International Conference on Computational Linguistics, Language Resources and Evaluation (LREC-COLING)",,,11873-11883,,,
p0069,2024,,"Koji Inoue, Bing'er Jiang, Erik Ekstedt, Tatsuya Kawahara, Gabriel Skantze",Real-time and Continuous Turn-taking Prediction Using Voice Activity Projection,,,International Workshop on Spoken Dialogue Systems Technology (IWSDS),Preprint PDF | https://arxiv.org/abs/2401.04868,,,,,,,,,,,,,
p0070,2024,,"Koji Inoue, Divesh Lala, Keiko Ochi, Tatsuya Kawahara, Gabriel Skantze",An Analysis of User Behaviors for Objectively Evaluating Spoken Dialogue Systems,,,International Workshop on Spoken Dialogue Systems Technology (IWSDS),Preprint PDF | https://arxiv.org/abs/2401.04867,,,,,,,,,,,,,
p0071,2024,,"Zi Haur Pang, Yahui Fu, Divesh Lala, Keiko Ochi, Koji Inoue, Tatsuya Kawahara",Acknowledgment of Emotional States: Generating Validating Responses for Empathetic Dialogue,,,International Workshop on Spoken Dialogue Systems Technology (IWSDS),Preprint PDF | https://arxiv.org/abs/2402.12770,,,,,,,,,,,,,
p0072,2024,,"Haruki Kawai, Divesh Lala, Koji Inoue, Keiko Ochi, Tatsuya Kawahara",Evaluation of a semi-autonomous attentive listening system with takeover prompting,,,International Workshop on Spoken Dialogue Systems Technology (IWSDS),Preprint PDF | https://arxiv.org/abs/2402.14863,,,,,,,,,,,,,
p0073,2023,,"Sanae Yamashita, Koji Inoue, Ao Guo, Shota Mochizuki, Tatsuya Kawahara, Ryuichiro Higashinaka",RealPersonaChat: A Realistic Persona Chat Corpus with Interlocutors’ Own Personalities,,,"Pacific Asia Conference on Language, Information and Computation (PACLIC), pp. 852–861",Link | https://aclanthology.org/2023.paclic-1.85/,,,,,,,"Pacific Asia Conference on Language, Information and Computation (PACLIC)",,,852–861,,,
p0074,2023,,"Koji Inoue, Divesh Lala, Keiko Ochi, Tatsuya Kawahara, Gabriel Skantze",Towards Objective Evaluation of Socially-Situated Conversational Robots: Assessing Human-Likeness through Multimodal User Behaviors,,,"International Conference on Multimodal Interaction (ICMI), Late-Breaking Results, Companion Proceedings, pp. 86–90","Link | https://dl.acm.org/doi/abs/10.1145/3610661.3617151
Preprint PDF | https://arxiv.org/abs/2308.11020",,,,,,,"International Conference on Multimodal Interaction (ICMI), Late-Breaking Results, Companion Proceedings",,,86–90,,,
p0075,2023,,Koji Inoue,Challenges and Approaches in Designing Social SDS in the LLM Era,,,Young Researchers Roundtable on Spoken Dialogue Systems (YRRSDS),Link | https://aclanthology.org/2023.yrrsds-1.8/,,,,,,,,,,,,,
p0076,2023,,"Yahui Fu, Koji Inoue, Chenhui Chu, Tatsuya Kawahara",Reasoning before Responding: Integrating Commonsense-based Causality Explanation for Empathetic Response Generation,,,"SIGdial Meeting on Discourse and Dialogue (SIGDIAL), pp. 645–656","Link | https://aclanthology.org/2023.sigdial-1.60/
Preprint PDF | https://arxiv.org/abs/2308.00085",,,,,,,SIGdial Meeting on Discourse and Dialogue (SIGDIAL),,,645–656,,,
p0077,2023,,"Sota Kobuki, Katie Seaborn, Seiki Tokunaga, Kosuke Fukumori, Shun Hidaka, Kazuhiro Tamura, Koji Inoue, Tatsuya Kawahara, Mihoko Otake-Matsuura",Robotic Backchanneling in Online Conversation Facilitation: A Cross-Generational Study,,,International Conference on Robot and Human Interactive Communication (RO-MAN),Link | https://ieeexplore.ieee.org/abstract/document/10309362,,,,,,,,,,,,,
p0078,2023,,"Yuanchao Li, Koji Inoue, Leimin Tian, Changzeng Fu, Carlos Toshinori Ishi, Hiroshi Ishiguro, Tatsuya Kawahara, Catherine Lai",I Know Your Feelings Before You Do: Predicting Future Affective Reactions in Human-Computer Dialogue,,,"CHI Conference on Human Factors in Computing Systems, Late-Breaking Work",Link | https://dl.acm.org/doi/abs/10.1145/3544549.3585869,,,,,,,,,,,,,
p0079,2023,,"Kenta Yamamoto, Koji Inoue, Tatsuya Kawahara",Character adaptation of spoken dialogue systems based on user personality,,,International Workshop on Spoken Dialogue Systems Technology (IWSDS),PDF | https://drive.google.com/file/d/1Akt7Le2Hs_duK3JMctv-pDew3qEmmv1Y/view,Best Paper Award,,,,,,,,,,,,
p0080,2023,,"Yahui Fu, Koji Inoue, Divesh Lala, Kenta Yamamoto, Chenhui Chu, Tatsuya Kawahara",Improving Empathetic Response Generation with Retrieval based on Emotion Recognition,,,International Workshop on Spoken Dialogue Systems Technology (IWSDS),PDF | https://drive.google.com/file/d/1SwG4YlSzmp8p6CaA1-dvlh9oH1KUYy18/view,,,,,,,,,,,,,
p0081,2023,,"Yusuke Muraki, Divesh Lala, Haruki Kawai, Kenta Yamamoto, Koji Inoue, Tatsuya Kawahara",Semi-autonomous Guide Agents with Simultaneous Handling of Multiple Users,,,International Workshop on Spoken Dialogue Systems Technology (IWSDS),PDF | https://drive.google.com/file/d/1secQzJdJaWkrCgAi6shoaKQhWxiFOF4N/view,,,,,,,,,,,,,
p0082,2022,,"Divesh Lala, Koji Inoue, Kei Sawada, Tatsuya Kawahara",Backchannel Generation Model for a Third Party Listening Agent,,,"International Conference on Human-Agent Interaction (HAI), pp. 114-122",Link | https://dl.acm.org/doi/abs/10.1145/3527188.3561926,,,,,,,International Conference on Human-Agent Interaction (HAI),,,114-122,,,
p0083,2022,,"Seiki Tokunaga, Kohsuke Fukumori, Kazuhiro Tamura, Koji Inoue, Tatsuya Kawahara Mihoko Ohtake-Matsuura",Development of RobotHub: Integration of External System to Group Conversation System for Older Adults,,,World Conference of Gerontechnology (ISG),PDF | https://journal.gerontechnology.org/archives/6d1a927c48db45d59f7c3ce765a1490a.pdf,,,,,,,,,,,,,
p0084,2022,,"Haruki Kawai, Yusuke Muraki, Kenta Yamamoto, Divesh Lala, Koji Inoue, Tatsuya Kawahara",Simultaneous Job Interview System Using Multiple Semi-autonomous Agents,,,"SIGdial Meeting on Discourse and Dialogue (SIGDIAL), pp. 107-110",PDF | http://sap.ist.i.kyoto-u.ac.jp/lab/bib/intl/KAW-SIGDIAL22.pdf,,,,,,,SIGdial Meeting on Discourse and Dialogue (SIGDIAL),,,107-110,,,
p0085,2022,,"Seiya Kawano, Muteki Arioka, Akishige Yuguchi, Kenta Yamamoto, Koji Inoue, Tatsuya Kawahara, Satoshi Nakamura, Koichiro Yoshino",Multimodal Persuasive Dialogue Corpus using Teleoperated Android,,,"INTERSPEECH, pp. 2918-2922",PDF | http://sap.ist.i.kyoto-u.ac.jp/lab/bib/intl/KAW-INTERSP22.pdf,,,,,,,INTERSPEECH,,,2918-2922,,,
p0086,2022,,"Yuanchao Li, Catherine Lai, Divesh Lala, Koji Inoue, Tatsuya Kawahara",Alzheimer’s Dementia Detection through Spontaneous Dialogue with Proactive Robotic Listeners,,,"ACM/IEEE International Conference on Human-Robot Interaction (HRI), pp. 875-879",Link | https://dl.acm.org/doi/abs/10.5555/3523760.3523896,,,,,,,ACM/IEEE International Conference on Human-Robot Interaction (HRI),,,875-879,,,
p0087,2021,,"Koji Inoue, Hiromi Sakamoto, Kenta Yamamoto, Divesh Lala, Tatsuya Kawahara",A multi-party attentive listening robot which stimulates involvement from side participants,,,"SIGdial Meeting on Discourse and Dialogue (SIGDIAL), pp. 261-264",PDF | https://sigdial.org/sites/default/files/workshops/conference22/Proceedings/pdf/2021.sigdial-1.28.pdf,,,,,,,SIGdial Meeting on Discourse and Dialogue (SIGDIAL),,,261-264,,,
p0088,2021,,"Divesh Lala, Koji Inoue, Kenta Yamamoto, Tatsuya Kawahara",Findings from human-android dialogue research with ERICA,,,"RobotDial Workshop on Dialogue Models for Human-Robot Interaction (ROBOTDIAL), IJCAI-PRICAI workshop",PDF | http://sap.ist.i.kyoto-u.ac.jp/ijcai2020/robotdial/09.pdf,,,,,,,,,,,,,
p0089,2020,,"Divesh Lala, Koji Inoue, Tatsuya Kawahara",Prediction of shared laughter for human-robot dialogue,,,"International Conference on Multimodal Interaction (ICMI), Companion Publication, pp. 62-66","Link | https://dl.acm.org/doi/10.1145/3395035.3425265
PDF | http://sap.ist.i.kyoto-u.ac.jp/lab/bib/intl/LAL-ICMI20.pdf",,,,,,,"International Conference on Multimodal Interaction (ICMI), Companion Publication",,,62-66,,,
p0090,2020,,"Koji Inoue, Kohei Hara, Divesh Lala, Kenta Yamamoto, Shizuka Nakamura, Katsuya Takanashi, Tatsuya Kawahara",Job interviewer android with elaborate follow-up question generation,,,"International Conference on Multimodal Interaction (ICMI), pp. 324-332","Link | https://dl.acm.org/doi/10.1145/3382507.3418839
PDF | http://sap.ist.i.kyoto-u.ac.jp/lab/bib/intl/INO-ICMI20.pdf",,,,,,,International Conference on Multimodal Interaction (ICMI),,,324-332,,,
p0091,2020,,"Kenta Yamamoto, Koji Inoue, Tatsuya Kawahara",Semi-supervised learning for character expression of spoken dialogue systems,,,"INTERSPEECH, pp. 4188-4192","Link | https://www.isca-speech.org/archive/Interspeech_2020/abstracts/2293.html
PDF | http://sap.ist.i.kyoto-u.ac.jp/lab/bib/intl/YAM-INTERSP20.pdf",,,,,,,INTERSPEECH,,,4188-4192,,,
